ciudad,ambiente,sitio,parche,planta,ID,ind1_gr,ind2_gr,ind3_gr,ind4_gr,ind5_gr,promedio,sla,tricomas,P_mg_Kg,C_porcentaje,K_Cmol_Kg,N_porcentaje,CN_ratio,C_porc_suelo,N_porc_suelo
cam,r,1,1,m1,cam_r11m1,0.0089,0.0111,0.0118,0.0088,NA,0.01015,20.7881773399015,4.5,233.353809523809,40.6572350726197,46.25,1.75862068965517,23.1188199432544,3.72,0.17
cam,r,1,1,m2,cam_r11m2,NA,NA,NA,NA,NA,NA,NA,NA,273.690952380952,39.4496817923113,46,1.365,28.900865781913,2.44,0.13
cam,r,1,2,m1,cam_r12m1,NA,NA,NA,NA,NA,NA,NA,NA,749.521890547264,53.0068181818182,41.25,2.36764705882353,22.3879728966685,3.86,0.27
cam,r,1,2,m2,cam_r12m2,0.0108,0.0083,0.0097,0.011,0.0117,0.0103,20.4854368932039,8.1,255.960096153846,37.9126992767711,55.375,1.24137931034483,30.54078552851,1.74,0.13
cam,r,2,1,m1,cam_r21m1,0.0066,0.0091,0.0068,0.0067,0.0052,0.00688,30.6686046511628,24.6,738.183009708738,34.1279376623377,42.125,2.05882352941176,16.5764268645641,3.78,0.23
cam,r,2,1,m2,cam_r21m2,0.0102,0.0091,0.0134,0.0109,0.0102,0.01076,19.6096654275093,14.3,969.91690821256,36.6986549165121,64.375,2.88235294117647,12.7321863996062,7.18,0.57
cam,r,2,2,m1,cam_r22m1,0.0055,0.0044,0.0047,0.0066,0.0064,0.00552,38.2246376811594,9.2,523.187922705314,35.8714285714286,55.125,1.67164179104478,21.4588010204081,2.3,0.1
cam,r,2,2,m2,cam_r22m2,0.0022,0.0058,0.0074,0.0067,0.0091,0.00624,33.8141025641026,18.1,228.71512195122,33.2882963190656,67,1.54411764705882,21.558134759014,3.94,0.23
cam,r,3,1,m1,cam_r31m1,0.0066,0.0093,0.0137,0.0118,0.0148,0.01124,18.7722419928826,18.3,392.08640776699,34.1160086925027,75.125,1.56716417910448,21.7692626895017,2.62,0.17
cam,r,3,1,m2,cam_r31m2,0.0094,0.0129,0.0098,0.0104,NA,0.010625,19.8588235294118,5.1875,875.250970873787,41.2713133020825,56.75,1.66336633663366,24.8119204970854,3.05,0.27
cam,r,3,2,m1,cam_r32m1,NA,NA,NA,NA,NA,NA,NA,NA,295.581862745098,46.4274147323849,32,1.56716417910448,29.6251122578075,5.65,0.17
cam,r,3,2,m2,cam_r32m2,0.0095,0.0097,0.013,0.0099,0.0103,0.01048,20.1335877862595,13.55,413.828712871287,39.9203411972643,28.25,1.84390243902439,21.6499204905798,5.96,1.08
cam,r,4,1,m1,cam_r41m1,0.0072,0.0096,0.008,0.0078,0.0052,0.00756,27.9100529100529,21.75,1562.32910798122,44.2871992549283,40.5,1.75,25.3069710028162,4.32,0.25
cam,r,4,1,m2,cam_r41m2,0.0073,0.0072,0.0033,0.0058,0.0037,0.00546,38.6446886446886,5.45,756.545771144279,41.1441480675014,45.125,1.76732673267327,23.2804423239083,4.4,0.27
cam,r,4,2,m1,cam_r42m1,0.0055,0.0058,0.0043,0.0044,0.0056,0.00512,41.2109375,5.5,1355.26328502415,44.2188888035042,38.5,2.39108910891089,18.493199872273,7.65,0.37
cam,r,4,2,m2,cam_r42m2,0.0071,0.0063,0.0075,0.0082,0.0083,0.00748,28.2085561497326,22.35,1082.22583732057,43.4563992667373,32.875,2.05882352941176,21.1073939295582,5.63,0.2
cam,r,5,1,m1,cam_r51m1,0.0065,0.0066,0.0083,0.0072,0.009,0.00752,28.0585106382979,12.35,1596.49134615385,45.1338253825382,29.125,1.56716417910448,28.7996790536196,4.03,0.67
cam,r,5,1,m2,cam_r51m2,0.0045,0.0046,0.004,0.0039,0.0037,0.00414,50.9661835748792,8.25,1327.98212560386,40.3751486234787,26.25,1.6551724137931,24.3933189600184,4.42,0.24
cam,r,5,2,m1,cam_r52m1,0.006,0.0081,0.0115,0.0068,0.0075,0.00798,26.4411027568922,101.15,447.834803921569,36.9818906193408,41,2.36764705882353,15.6196805100321,2.31,0.17
cam,r,5,2,m2,cam_r52m2,0.0067,0.0092,0.0122,0.014,0.0108,0.01058,19.9432892249527,14.4,369.41327014218,44.384068227182,27.625,1.88059701492537,23.6010521525492,7.72,0.49
cam,u,1,1,m1,cam_u11m1,0.0041,0.0051,0.0049,0.0025,0.0038,0.00408,51.7156862745098,3.05,845.8,47.9246161759033,36.625,2.07920792079208,23.0494582560297,2.45,0.2
cam,u,1,1,m2,cam_u11m2,0.0035,0.0046,0.0023,0.0041,0.004,0.0037,57.027027027027,3.35,1055.20574162679,44.7521372328459,26.75,2.48275862068965,18.0251663854519,5.36,0.25
cam,u,1,2,m1,cam_u12m1,0.0081,0.0026,0.0027,0.0041,0.0033,0.00416,50.7211538461538,2.6,668.747263681592,46.4476388422711,37,2.29850746268657,20.2077389768322,6.49,0.41
cam,u,1,2,m2,cam_u12m2,0.0029,0.0018,0.0042,0.0021,0.0019,0.00258,81.7829457364341,6.15,1219.78509615385,47.1841056379518,29.125,2.16176470588235,21.8266611114335,3.47,0.3
cam,u,2,1,m1,cam_u21m1,0.0047,0.0024,0.0065,0.0053,0.0062,0.00502,42.0318725099602,7.55,980.147342995169,42.0008855955178,46.75,2.07920792079208,20.2004259292728,4.66,0.37
cam,u,2,1,m2,cam_u21m2,0.0026,0.0025,0.0039,0.0038,0.0038,0.00332,63.5542168674699,3,1280.24009661836,44.8795808152244,38.75,2.19402985074627,20.4553191470751,6.5,0.34
cam,u,2,2,m1,cam_u22m1,0.0066,0.0061,0.0073,0.0054,0.0052,0.00612,34.4771241830065,2.6,1683.42296650718,46.7705115397423,32.125,2.7029702970297,17.3033760641538,2.24,0.2
cam,u,2,2,m2,cam_u22m2,0.0048,0.0048,0.005,0.0055,0.0054,0.0051,41.3725490196078,4.7,1306.50390243902,48.7968636106976,34.875,2.08955223880597,23.3527847279767,4.42,0.3
cam,u,3,1,m1,cam_u31m1,0.004,0.0058,0.0055,0.006,0.0071,0.00568,37.1478873239437,7.35,784.641293532338,43.8753528522759,47.125,2.37931034482759,18.4403656915362,4.69,0.23
cam,u,3,1,m2,cam_u31m2,0.0055,0.0073,0.0056,0.053,0.0067,0.01562,13.5083226632522,2,727.691346153846,38.3473579465721,46,2.92537313432836,13.1085356245935,3.59,0.27
cam,u,3,2,m1,cam_u32m1,0.0049,0.0045,0.0063,0.0061,0.0054,0.00544,38.7867647058823,4.8,651.187562189055,33.9411453357775,81.25,1.66336633663366,20.4050933268663,4.43,0.27
cam,u,3,2,m2,cam_u32m2,0.0048,0.005,0.0071,0.0089,0.005,0.00616,34.2532467532468,2.2,1935.86634615385,46.9557412884146,33.5,1.87128712871287,25.0927506356078,6.85,0.47
cam,u,4,1,m1,cam_u41m1,0.0082,0.0092,0.0103,0.0106,0.0065,0.00896,23.5491071428571,8.4,1055.27417840376,42.7807419671961,32.25,2.205,19.4016970372771,3.01,0.17
cam,u,4,1,m2,cam_u41m2,0.0063,0.0093,0.0112,0.0091,0.0072,0.00862,24.4779582366589,6.75,2194.15893719807,45.4881534967979,45.5,1.64705882352941,27.6178074801988,,
cam,u,4,2,m1,cam_u42m1,0.0042,0.0043,0.0042,0.0041,0.0038,0.00412,51.2135922330097,1.5,1098.76138613861,33.2393475572047,41.5,1.85294117647059,17.9386955070628,4.25,0.4
cam,u,4,2,m2,cam_u42m2,0.0066,0.0076,0.0066,0.0061,0.0064,0.00666,31.6816816816817,1.6,653.532380952381,31.3861471861472,45.5,2.28712871287129,13.7229474709994,4.27,0.34
cam,u,5,1,m1,cam_u51m1,0.0089,0.0061,0.0079,0.0105,0.0094,0.00856,24.6495327102804,2.05,912.362380952381,37.5890981528432,53.125,1.97524752475248,19.0300697415396,2.2,0.17
cam,u,5,1,m2,cam_u51m2,0.0114,0.0081,0.0125,0.0089,0.0126,0.0107,19.7196261682243,4.9,896.73756097561,37.365796579658,33.75,1.85294117647059,20.165667995371,2.98,0.27
cam,u,5,2,m1,cam_u52m1,0.005,0.0041,0.0048,0.0041,0.0066,0.00492,42.8861788617886,5.7,1271.38480392157,43.0084454467688,47.875,1.77611940298507,24.2148390330548,2.04,0.2
cam,u,5,2,m2,cam_u52m2,0.0079,0.0082,0.0049,0.0073,0.0071,0.00708,29.8022598870056,4.05,845.13380952381,37.0721557420968,31.625,1.98507462686567,18.6754468775977,3.56,0.23
cun,r,1,1,m1,cun_r11m1,0.004,0.0084,0.0108,0.0105,0.0116,0.00906,23.2891832229581,12.4666666666667,448.572511848341,42.6166769738198,33.5,2.7029702970297,15.7666094298747,2.75,0.13
cun,r,1,1,m2,cun_r11m2,NA,NA,NA,NA,NA,NA,NA,NA,1731.2213592233,40.1805220420605,46.5,1.67164179104478,24.0365622930183,8.74,0.54
cun,r,1,2,m1,cun_r12m1,0.0035,0.0059,0.008,0.0101,0.0066,0.00682,30.9384164222874,5.6,812.942307692308,35.2405184456977,43.875,2.73,12.9086148152739,10.32,0.6
cun,r,1,2,m2,cun_r12m2,0.0071,0.0052,0.0066,0.0083,0.0072,0.00688,30.6686046511628,5.5,1253.43461538462,41.9412810742152,34.375,2.205,19.0209891493039,6.98,0.37
cun,r,2,1,m1,cun_r21m1,0.0117,0.0066,0.01,0.0089,0.0101,0.00946,22.3044397463002,2.8,415.191387559809,42.4696806175932,54.5,2.61194029850746,16.2598205793071,5.19,0.23
cun,r,2,1,m2,cun_r21m2,0.0104,0.0096,0.0093,0.0091,0.0096,0.0096,21.9791666666667,3.4,502.194202898551,36.3156559975458,61.75,2.82089552238806,12.873803977966,7.37,0.47
cun,r,2,2,m1,cun_r22m1,0.0164,0.0102,0.0117,0.0123,0.0121,0.01254,16.8261562998405,2.35,737.336231884058,40.5099376623377,34.375,2.18316831683168,18.5555723532704,3.88,0.2
cun,r,2,2,m2,cun_r22m2,0.01,0.0137,0.0114,0.0091,0.0078,0.0104,20.2884615384615,6.65,458.483653846154,40.4104152257998,52.5,3.11881188118812,12.9569902787485,5.51,0.3
cun,r,3,1,m1,cun_r31m1,0.0071,0.0056,0.006,0.0075,0.006,0.00644,32.7639751552795,9.45,1645.74807692308,40.0295826702941,49.625,2.71641791044776,14.7361650489544,2.32,0.07
cun,r,3,1,m2,cun_r31m2,0.0068,0.0065,0.0064,0.0056,0.0058,0.00622,33.9228295819936,6,762.907462686567,40.5807264448699,68.75,2.40298507462687,16.8876315019024,5.77,0.37
cun,r,3,2,m1,cun_r32m1,0.0135,0.0154,0.0107,0.0092,0.0097,0.0117,18.034188034188,3.05,569.311004784689,39.8356822664515,66.25,2.625,15.1754980062672,4.16,0.2
cun,r,3,2,m2,cun_r32m2,0.0129,0.0128,0.0123,0.0107,0.0155,0.01284,16.4330218068536,6.25,492.897115384615,37.2976602762317,74,2.71641791044776,13.730457354437,6.11,0.3
cun,r,4,1,m1,cun_r41m1,NA,NA,NA,NA,NA,NA,NA,NA,389.656730769231,41.8072613894043,48.5,3.11881188118812,13.404867937555,8.38,0.71
cun,r,4,1,m2,cun_r41m2,0.0088,0.0074,0.0114,0.0055,0.0073,0.00808,26.1138613861386,9,404.314705882353,40.938601280841,39,3.22277227722772,12.7029146831488,5.84,0.47
cun,r,4,1,m1,cun_r42m1,0.0067,0.0058,0.0062,0.0055,0.0076,0.00636,33.1761006289308,4.71666666666667,915.623414634147,36.8351370851371,53.875,2.68965517241379,13.6951150701151,4.83,0.2
cun,r,4,2,m2,cun_r42m2,NA,NA,NA,NA,NA,NA,NA,NA,590.282352941177,32.7593261069639,77.625,3.13432835820895,10.4517849960314,4.81,0.17
cun,r,5,1,m1,cun_r51m1,0.009,0.0086,0.0081,0.0077,0.0064,0.00796,26.5075376884422,NA,830.149038461539,38.5695990517419,56.75,2.98529411764706,12.9198656922091,5.19,0.33
cun,r,5,1,m2,cun_r51m2,0.0075,0.0079,0.0082,0.0065,0.0063,0.00728,28.9835164835165,18.8,1213.78522167488,36.4014332281265,45.625,3.01485148514851,12.0740386076873,3.29,0.17
cun,r,5,2,m1,cun_r52m1,0.0061,0.0088,0.0073,0.008,0.0082,0.00768,27.4739583333333,NA,1108.89807692308,35.5887928804263,52.125,3.51724137931034,10.118382289533,4.61,0.3
cun,r,5,2,m2,cun_r52m2,0.0084,0.008,0.0056,0.0057,0.0047,0.00648,32.5617283950617,8.5,598.450485436893,35.4677117754041,68.75,3.31034482758621,10.71420459882,4.24,0.27
cun,u,1,1,m1,cun_u11m1,0.0066,0.0057,0.0051,0.0054,0.0041,0.00538,39.2193308550186,8.35,578.13679245283,65.938209702822,74.25,2.28712871287129,28.8301263202814,3.37,0.23
