"MUESTRA","ID","ID_LASPA","ciudad","ambiente","sitio","parche","planta","P_mg_Kg","C_porcentaje","K_Cmol_Kg","N_porcentaje"
"vegetal","CAM_R11m1","LFR-2022-8063","cam","r","1","1","m1",233.353809523809,40.6572350726197,46.25,1.75862068965517
"vegetal","CAM_R11m2","LFR-2022-8064","cam","r","1","1","m2",273.690952380952,39.4496817923113,46,1.365
"vegetal","CAM_R12m1","LFR-2022-8065","cam","r","1","2","m1",749.521890547264,53.0068181818182,41.25,2.36764705882353
"vegetal","CAM_R12m2","LFR-2022-8066","cam","r","1","2","m2",255.960096153846,37.9126992767711,55.375,1.24137931034483
"vegetal","CAM_R21m1","LFR-2022-8067","cam","r","2","1","m1",738.183009708738,34.1279376623377,42.125,2.05882352941176
"vegetal","CAM_R21m2","LFR-2022-8068","cam","r","2","1","m2",969.91690821256,36.6986549165121,64.375,2.88235294117647
"vegetal","CAM_R22m1","LFR-2022-8069","cam","r","2","2","m1",523.187922705314,35.8714285714286,55.125,1.67164179104478
"vegetal","CAM_R22m2","LFR-2022-8070","cam","r","2","2","m2",228.71512195122,33.2882963190656,67,1.54411764705882
"vegetal","CAM_R31m1","LFR-2022-8071","cam","r","3","1","m1",392.08640776699,34.1160086925027,75.125,1.56716417910448
"vegetal","CAM_R31m2","LFR-2022-8072","cam","r","3","1","m2",875.250970873787,41.2713133020825,56.75,1.66336633663366
"vegetal","CAM_R32m1","LFR-2022-8073","cam","r","3","2","m1",295.581862745098,46.4274147323849,32,1.56716417910448
"vegetal","CAM_R32m2","LFR-2022-8074","cam","r","3","2","m2",413.828712871287,39.9203411972643,28.25,1.84390243902439
"vegetal","CAM_R41m1","LFR-2022-8075","cam","r","4","1","m1",1562.32910798122,44.2871992549283,40.5,1.75
"vegetal","CAM_R41m2","LFR-2022-8076","cam","r","4","1","m2",756.545771144279,41.1441480675014,45.125,1.76732673267327
"vegetal","CAM_R42m1","LFR-2022-8077","cam","r","4","2","m1",1355.26328502415,44.2188888035042,38.5,2.39108910891089
"vegetal","CAM_R42m2","LFR-2022-8078","cam","r","4","2","m2",1082.22583732057,43.4563992667373,32.875,2.05882352941176
"vegetal","CAM_R51m1","LFR-2022-8079","cam","r","5","1","m1",1596.49134615385,45.1338253825382,29.125,1.56716417910448
"vegetal","CAM_R51m2","LFR-2022-8080","cam","r","5","1","m2",1327.98212560386,40.3751486234787,26.25,1.6551724137931
"vegetal","CAM_R52m1","LFR-2022-8081","cam","r","5","2","m1",447.834803921569,36.9818906193408,41,2.36764705882353
"vegetal","CAM_R52m2","LFR-2022-8082","cam","r","5","2","m2",369.41327014218,44.384068227182,27.625,1.88059701492537
"vegetal","CAM_U11m1","LFR-2022-8043","cam","u","1","1","m1",845.8,47.9246161759033,36.625,2.07920792079208
"vegetal","CAM_U11m2","LFR-2022-8044","cam","u","1","1","m2",1055.20574162679,44.7521372328459,26.75,2.48275862068965
"vegetal","CAM_U12m1","LFR-2022-8045","cam","u","1","2","m1",668.747263681592,46.4476388422711,37,2.29850746268657
"vegetal","CAM_U12m2","LFR-2022-8046","cam","u","1","2","m2",1219.78509615385,47.1841056379518,29.125,2.16176470588235
"vegetal","CAM_U21m1","LFR-2022-8047","cam","u","2","1","m1",980.147342995169,42.0008855955178,46.75,2.07920792079208
"vegetal","CAM_U21m2","LFR-2022-8048","cam","u","2","1","m2",1280.24009661836,44.8795808152244,38.75,2.19402985074627
"vegetal","CAM_U22m1","LFR-2022-8049","cam","u","2","2","m1",1683.42296650718,46.7705115397423,32.125,2.7029702970297
"vegetal","CAM_U22m2","LFR-2022-8050","cam","u","2","2","m2",1306.50390243902,48.7968636106976,34.875,2.08955223880597
"vegetal","CAM_U31m1","LFR-2022-8051","cam","u","3","1","m1",784.641293532338,43.8753528522759,47.125,2.37931034482759
"vegetal","CAM_U31m2","LFR-2022-8052","cam","u","3","1","m2",727.691346153846,38.3473579465721,46,2.92537313432836
"vegetal","CAM_U32m1","LFR-2022-8053","cam","u","3","2","m1",651.187562189055,33.9411453357775,81.25,1.66336633663366
"vegetal","CAM_U32m2","LFR-2022-8054","cam","u","3","2","m2",1935.86634615385,46.9557412884146,33.5,1.87128712871287
"vegetal","CAM_U41m1","LFR-2022-8055","cam","u","4","1","m1",1055.27417840376,42.7807419671961,32.25,2.205
"vegetal","CAM_U41m2","LFR-2022-8056","cam","u","4","1","m2",2194.15893719807,45.4881534967979,45.5,1.64705882352941
"vegetal","CAM_U42m1","LFR-2022-8057","cam","u","4","2","m1",1098.76138613861,33.2393475572047,41.5,1.85294117647059
"vegetal","CAM_U42m2","LFR-2022-8058","cam","u","4","2","m2",653.532380952381,31.3861471861472,45.5,2.28712871287129
"vegetal","CAM_U51m1","LFR-2022-8059","cam","u","5","1","m1",912.362380952381,37.5890981528432,53.125,1.97524752475248
"vegetal","CAM_U51m2","LFR-2022-8060","cam","u","5","1","m2",896.73756097561,37.365796579658,33.75,1.85294117647059
"vegetal","CAM_U52m1","LFR-2022-8061","cam","u","5","2","m1",1271.38480392157,43.0084454467688,47.875,1.77611940298507
"vegetal","CAM_U52m2","LFR-2022-8062","cam","u","5","2","m2",845.13380952381,37.0721557420968,31.625,1.98507462686567
"vegetal","CUN_R11m1","LFR-2022-8103","cun","r","1","1","m1",448.572511848341,42.6166769738198,33.5,2.7029702970297
"vegetal","CUN_R11m2","LFR-2022-8104","cun","r","1","1","m2",1731.2213592233,40.1805220420605,46.5,1.67164179104478
"vegetal","CUN_R12m1","LFR-2022-8105","cun","r","1","2","m1",812.942307692308,35.2405184456977,43.875,2.73
"vegetal","CUN_R12m2","LFR-2022-8106","cun","r","1","2","m2",1253.43461538462,41.9412810742152,34.375,2.205
"vegetal","CUN_R21m1","LFR-2022-8107","cun","r","2","1","m1",415.191387559809,42.4696806175932,54.5,2.61194029850746
"vegetal","CUN_R21m2","LFR-2022-8108","cun","r","2","1","m2",502.194202898551,36.3156559975458,61.75,2.82089552238806
"vegetal","CUN_R22m1","LFR-2022-8109","cun","r","2","2","m1",737.336231884058,40.5099376623377,34.375,2.18316831683168
"vegetal","CUN_R22m2","LFR-2022-8110","cun","r","2","2","m2",458.483653846154,40.4104152257998,52.5,3.11881188118812
"vegetal","CUN_R31m1","LFR-2022-8111","cun","r","3","1","m1",1645.74807692308,40.0295826702941,49.625,2.71641791044776
"vegetal","CUN_R31m2","LFR-2022-8112","cun","r","3","1","m2",762.907462686567,40.5807264448699,68.75,2.40298507462687
"vegetal","CUN_R32m1","LFR-2022-8113","cun","r","3","2","m1",569.311004784689,39.8356822664515,66.25,2.625
"vegetal","CUN_R32m2","LFR-2022-8114","cun","r","3","2","m2",492.897115384615,37.2976602762317,74,2.71641791044776
"vegetal","CUN_R41m1","LFR-2022-8115","cun","r","4","1","m1",389.656730769231,41.8072613894043,48.5,3.11881188118812
"vegetal","CUN_R41m2","LFR-2022-8116","cun","r","4","1","m2",404.314705882353,40.938601280841,39,3.22277227722772
"vegetal","CUN_R42m1","LFR-2022-8117","cun","r","4","1","m1",915.623414634147,36.8351370851371,53.875,2.68965517241379
"vegetal","CUN_R42m2","LFR-2022-8118","cun","r","4","2","m2",590.282352941177,32.7593261069639,77.625,3.13432835820895
"vegetal","CUN_R51m1","LFR-2022-8119","cun","r","5","1","m1",830.149038461539,38.5695990517419,56.75,2.98529411764706
"vegetal","CUN_R51m2","LFR-2022-8120","cun","r","5","1","m2",1213.78522167488,36.4014332281265,45.625,3.01485148514851
"vegetal","CUN_R52m1","LFR-2022-8121","cun","r","5","2","m1",1108.89807692308,35.5887928804263,52.125,3.51724137931034
"vegetal","CUN_R52m2","LFR-2022-8122","cun","r","5","2","m2",598.450485436893,35.4677117754041,68.75,3.31034482758621
"vegetal","CUN_U11m1","LFR-2022-8083","cun","u","1","1","m1",578.13679245283,65.938209702822,74.25,2.28712871287129
"vegetal","CUN_U11m2","LFR-2022-8084","cun","u","1","1","m2",613.344230769231,26.6168242014396,90.75,2.06896551724138
"vegetal","CUN_U12m1","LFR-2022-8085","cun","u","1","2","m1",650.253658536585,33.9253734407885,76.625,2.05882352941176
"vegetal","CUN_U12m2","LFR-2022-8086","cun","u","1","2","m2",765,30.5853344284174,89.125,1.96551724137931
"vegetal","CUN_U21m1","LFR-2022-8087","cun","u","2","1","m1",720.108823529412,35.838981612447,76.75,2.5990099009901
"vegetal","CUN_U21m2","LFR-2022-8088","cun","u","2","1","m2",1081.29428571429,40.1371367336004,61.75,2.92537313432836
"vegetal","CUN_U22m1","LFR-2022-8089","cun","u","2","2","m1",822.752153110048,33.053833346141,84.5,2.49504950495049
"vegetal","CUN_U22m2","LFR-2022-8090","cun","u","2","2","m2",977.199029126214,32.9539359650251,79.375,2.26470588235294
"vegetal","CUN_U31m1","LFR-2022-8091","cun","u","3","1","m1",781.653588516747,37.1820294784581,71.25,2.07920792079208
"vegetal","CUN_U31m2","LFR-2022-8092","cun","u","3","1","m2",1034.72173913043,33.9253734407885,70,2.79310344827586
"vegetal","CUN_U32m1","LFR-2022-8093","cun","u","3","2","m1",809.953623188406,31.7268432355047,72.25,2.48275862068965
"vegetal","CUN_U32m2","LFR-2022-8094","cun","u","3","2","m2",650.253658536585,33.5660108354719,73.5,2.5990099009901
"vegetal","CUN_U41m1","LFR-2022-8095","cun","u","4","1","m1",893.822857142857,37.9106224452838,69,2.18316831683168
"vegetal","CUN_U41m2","LFR-2022-8096","cun","u","4","1","m2",852.92,35.6788291074005,52.5,3.10344827586207
"vegetal","CUN_U42m1","LFR-2022-8097","cun","u","4","2","m1",2189.68405797102,43.0792001649145,37.125,2.7029702970297
"vegetal","CUN_U42m2","LFR-2022-8098","cun","u","4","2","m2",1446.22028985507,39.9271584415584,51.375,3.43069306930693
"vegetal","CUN_U51m1","LFR-2022-8099","cun","u","5","1","m1",980.673786407767,33.9443671407957,59.375,2.80693069306931
"vegetal","CUN_U51m2","LFR-2022-8100","cun","u","5","1","m2",1645.39024390244,38.4197127037992,56.5,2.49504950495049
"vegetal","CUN_U52m1","LFR-2022-8101","cun","u","5","2","m1",583.642857142857,32.988766745066,72.5,1.95588235294118
