"ciudad","ambiente","sitio","parche","planta","id","ind1_gr","ind2_gr","ind3_gr","ind4_gr","ind5_gr","promedio","sla"
"cam","r","1","1","m1","cam_r11m1",0.0089,0.0111,0.0118,0.0088,NA,0.01015,20.7881773399015
"cam","r","1","1","m2","cam_r11m2",NA,NA,NA,NA,NA,NA,NA
"cam","r","1","2","m1","cam_r12m1",NA,NA,NA,NA,NA,NA,NA
"cam","r","1","2","m2","cam_r12m2",0.0108,0.0083,0.0097,0.011,0.0117,0.0103,20.4854368932039
"cam","r","2","1","m1","cam_r21m1",0.0066,0.0091,0.0068,0.0067,0.0052,0.00688,30.6686046511628
"cam","r","2","1","m2","cam_r21m2",0.0102,0.0091,0.0134,0.0109,0.0102,0.01076,19.6096654275093
"cam","r","2","2","m1","cam_r22m1",0.0055,0.0044,0.0047,0.0066,0.0064,0.00552,38.2246376811594
"cam","r","2","2","m2","cam_r22m2",0.0022,0.0058,0.0074,0.0067,0.0091,0.00624,33.8141025641026
"cam","r","3","1","m1","cam_r31m1",0.0066,0.0093,0.0137,0.0118,0.0148,0.01124,18.7722419928826
"cam","r","3","1","m2","cam_r31m2",0.0094,0.0129,0.0098,0.0104,NA,0.010625,19.8588235294118
"cam","r","3","2","m1","cam_r32m1",NA,NA,NA,NA,NA,NA,NA
"cam","r","3","2","m2","cam_r32m2",0.0095,0.0097,0.013,0.0099,0.0103,0.01048,20.1335877862595
"cam","r","4","1","m1","cam_r41m1",0.0072,0.0096,0.008,0.0078,0.0052,0.00756,27.9100529100529
"cam","r","4","1","m2","cam_r41m2",0.0073,0.0072,0.0033,0.0058,0.0037,0.00546,38.6446886446886
"cam","r","4","2","m1","cam_r42m1",0.0055,0.0058,0.0043,0.0044,0.0056,0.00512,41.2109375
"cam","r","4","2","m2","cam_r42m2",0.0071,0.0063,0.0075,0.0082,0.0083,0.00748,28.2085561497326
"cam","r","5","1","m1","cam_r51m1",0.0065,0.0066,0.0083,0.0072,0.009,0.00752,28.0585106382979
"cam","r","5","1","m2","cam_r51m2",0.0045,0.0046,0.004,0.0039,0.0037,0.00414,50.9661835748792
"cam","r","5","2","m1","cam_r52m1",0.006,0.0081,0.0115,0.0068,0.0075,0.00798,26.4411027568922
"cam","r","5","2","m2","cam_r52m2",0.0067,0.0092,0.0122,0.014,0.0108,0.01058,19.9432892249527
"cam","u","1","1","m1","cam_u11m1",0.0041,0.0051,0.0049,0.0025,0.0038,0.00408,51.7156862745098
"cam","u","1","1","m2","cam_u11m2",0.0035,0.0046,0.0023,0.0041,0.004,0.0037,57.027027027027
"cam","u","1","2","m1","cam_u12m1",0.0081,0.0026,0.0027,0.0041,0.0033,0.00416,50.7211538461538
"cam","u","1","2","m2","cam_u12m2",0.0029,0.0018,0.0042,0.0021,0.0019,0.00258,81.7829457364341
"cam","u","2","1","m1","cam_u21m1",0.0047,0.0024,0.0065,0.0053,0.0062,0.00502,42.0318725099602
"cam","u","2","1","m2","cam_u21m2",0.0026,0.0025,0.0039,0.0038,0.0038,0.00332,63.5542168674699
"cam","u","2","2","m1","cam_u22m1",0.0066,0.0061,0.0073,0.0054,0.0052,0.00612,34.4771241830065
"cam","u","2","2","m2","cam_u22m2",0.0048,0.0048,0.005,0.0055,0.0054,0.0051,41.3725490196078
"cam","u","3","1","m1","cam_u31m1",0.004,0.0058,0.0055,0.006,0.0071,0.00568,37.1478873239437
"cam","u","3","1","m2","cam_u31m2",0.0055,0.0073,0.0056,0.053,0.0067,0.01562,13.5083226632522
"cam","u","3","2","m1","cam_u32m1",0.0049,0.0045,0.0063,0.0061,0.0054,0.00544,38.7867647058823
"cam","u","3","2","m2","cam_u32m2",0.0048,0.005,0.0071,0.0089,0.005,0.00616,34.2532467532468
"cam","u","4","1","m1","cam_u41m1",0.0082,0.0092,0.0103,0.0106,0.0065,0.00896,23.5491071428571
"cam","u","4","1","m2","cam_u41m2",0.0063,0.0093,0.0112,0.0091,0.0072,0.00862,24.4779582366589
"cam","u","4","2","m1","cam_u42m1",0.0042,0.0043,0.0042,0.0041,0.0038,0.00412,51.2135922330097
"cam","u","4","2","m2","cam_u42m2",0.0066,0.0076,0.0066,0.0061,0.0064,0.00666,31.6816816816817
"cam","u","5","1","m1","cam_u51m1",0.0089,0.0061,0.0079,0.0105,0.0094,0.00856,24.6495327102804
"cam","u","5","1","m2","cam_u51m2",0.0114,0.0081,0.0125,0.0089,0.0126,0.0107,19.7196261682243
"cam","u","5","2","m1","cam_u52m1",0.005,0.0041,0.0048,0.0041,0.0066,0.00492,42.8861788617886
"cam","u","5","2","m2","cam_u52m2",0.0079,0.0082,0.0049,0.0073,0.0071,0.00708,29.8022598870056
"cun","r","1","1","m1","cun_r11m1",0.004,0.0084,0.0108,0.0105,0.0116,0.00906,23.2891832229581
"cun","r","1","1","m2","cun_r11m2",NA,NA,NA,NA,NA,NA,NA
"cun","r","1","2","m1","cun_r12m1",0.0035,0.0059,0.008,0.0101,0.0066,0.00682,30.9384164222874
"cun","r","1","2","m2","cun_r12m2",0.0071,0.0052,0.0066,0.0083,0.0072,0.00688,30.6686046511628
"cun","r","2","1","m1","cun_r21m1",0.0117,0.0066,0.01,0.0089,0.0101,0.00946,22.3044397463002
"cun","r","2","1","m2","cun_r21m2",0.0104,0.0096,0.0093,0.0091,0.0096,0.0096,21.9791666666667
"cun","r","2","2","m1","cun_r22m1",0.0164,0.0102,0.0117,0.0123,0.0121,0.01254,16.8261562998405
"cun","r","2","2","m2","cun_r22m2",0.01,0.0137,0.0114,0.0091,0.0078,0.0104,20.2884615384615
"cun","r","3","1","m1","cun_r31m1",0.0071,0.0056,0.006,0.0075,0.006,0.00644,32.7639751552795
