ID,ciudad,ambiente,tricomas
cam_r11m1,cam,r,4.5
cam_r11m2,cam,r,NA
cam_r12m1,cam,r,NA
cam_r12m2,cam,r,8.1
cam_r21m1,cam,r,24.6
cam_r21m2,cam,r,14.3
cam_r22m1,cam,r,9.2
cam_r22m2,cam,r,18.1
cam_r31m1,cam,r,18.3
cam_r31m2,cam,r,5.1875
cam_r32m1,cam,r,NA
cam_r32m2,cam,r,13.55
cam_r41m1,cam,r,21.75
cam_r41m2,cam,r,5.45
cam_r42m1,cam,r,5.5
cam_r42m2,cam,r,22.35
cam_r51m1,cam,r,12.35
cam_r51m2,cam,r,8.25
cam_r52m1,cam,r,101.15
cam_r52m2,cam,r,14.4
cam_u11m1,cam,u,3.05
cam_u11m2,cam,u,3.35
cam_u12m1,cam,u,2.6
cam_u12m2,cam,u,6.15
cam_u21m1,cam,u,7.55
cam_u21m2,cam,u,3
cam_u22m1,cam,u,2.6
cam_u22m2,cam,u,4.7
cam_u31m1,cam,u,7.35
cam_u31m2,cam,u,2
cam_u32m1,cam,u,4.8
cam_u32m2,cam,u,2.2
cam_u41m1,cam,u,8.4
cam_u41m2,cam,u,6.75
cam_u42m1,cam,u,1.5
cam_u42m2,cam,u,1.6
cam_u51m1,cam,u,2.05
cam_u51m2,cam,u,4.9
cam_u52m1,cam,u,5.7
cam_u52m2,cam,u,4.05
cun_r11m1,cun,r,12.4666666666667
cun_r11m2,cun,r,NA
cun_r12m1,cun,r,5.6
cun_r12m2,cun,r,5.5
cun_r21m1,cun,r,2.8
cun_r21m2,cun,r,3.4
cun_r22m1,cun,r,2.35
cun_r22m2,cun,r,6.65
cun_r31m1,cun,r,9.45
cun_r31m2,cun,r,6
cun_r32m1,cun,r,3.05
cun_r32m2,cun,r,6.25
cun_r41m1,cun,r,NA
cun_r41m2,cun,r,9
cun_r42m1,cun,r,4.71666666666667
cun_r42m2,cun,r,NA
cun_r51m1,cun,r,NA
cun_r51m2,cun,r,18.8
cun_r52m1,cun,r,NA
cun_r52m2,cun,r,8.5
cun_u11m1,cun,u,8.35
cun_u11m2,cun,u,3.9
cun_u12m1,cun,u,5.7
cun_u12m2,cun,u,8.75
cun_u21m1,cun,u,5.25
cun_u21m2,cun,u,6.65
cun_u22m1,cun,u,16.95
cun_u22m2,cun,u,14.35
cun_u31m1,cun,u,22.3
cun_u31m2,cun,u,15
cun_u32m1,cun,u,8.6
cun_u32m2,cun,u,5.75
cun_u41m1,cun,u,11.7
cun_u41m2,cun,u,7.9
cun_u42m1,cun,u,NA
cun_u42m2,cun,u,NA
cun_u51m1,cun,u,NA
cun_u51m2,cun,u,15.45
cun_u52m1,cun,u,10.45
cun_u52m2,cun,u,2.1
mid_r11m1,mid,r,9.125
mid_r11m2,mid,r,8.875
mid_r12m1,mid,r,12.25
mid_r12m2,mid,r,8.375
mid_r21m1,mid,r,4.1875
mid_r21m2,mid,r,NA
mid_r22m1,mid,r,NA
mid_r22m2,mid,r,NA
mid_r31m1,mid,r,3.125
mid_r31m2,mid,r,9.75
mid_r32m1,mid,r,12.125
mid_r32m2,mid,r,NA
mid_r41m1,mid,r,2.625
mid_r41m2,mid,r,18.75
mid_r42m1,mid,r,2.125
mid_r42m2,mid,r,5.5
mid_r51m1,mid,r,12.75
mid_r51m2,mid,r,5
mid_r52m1,mid,r,2.5
mid_r52m2,mid,r,3
mid_u11m1,mid,u,1.33333333333333
mid_u11m2,mid,u,1.08333333333333
mid_u12m1,mid,u,6.5
mid_u12m2,mid,u,3.46666666666667
mid_u21m1,mid,u,4
mid_u21m2,mid,u,0.4
mid_u22m1,mid,u,1.8
mid_u22m2,mid,u,NA
mid_u31m1,mid,u,2.2
mid_u31m2,mid,u,NA
mid_u32m1,mid,u,1.66666666666667
mid_u32m2,mid,u,5.375
mid_u41m1,mid,u,0.625
mid_u41m2,mid,u,2.375
mid_u42m1,mid,u,2.375
mid_u42m2,mid,u,NA
mid_u51m1,mid,u,NA
mid_u51m2,mid,u,NA
mid_u52m1,mid,u,4.375
mid_u52m2,mid,u,1
tiz_r11m1,tiz,r,6.35
tiz_r11m2,tiz,r,NA
tiz_r12m1,tiz,r,NA
tiz_r12m2,tiz,r,NA
tiz_r21m1,tiz,r,5.7
tiz_r21m2,tiz,r,6.05
tiz_r22m1,tiz,r,3.05
tiz_r22m2,tiz,r,6.35
tiz_r31m1,tiz,r,1
tiz_r31m2,tiz,r,NA
tiz_r32m1,tiz,r,NA
tiz_r32m2,tiz,r,8.6
tiz_r41m1,tiz,r,NA
tiz_r41m2,tiz,r,NA
tiz_r42m1,tiz,r,NA
tiz_r42m2,tiz,r,NA
tiz_r51m1,tiz,r,NA
tiz_r51m2,tiz,r,NA
tiz_r52m1,tiz,r,NA
tiz_r52m2,tiz,r,NA
tiz_u11m1,tiz,u,5.75
tiz_u11m2,tiz,u,4.25
tiz_u12m1,tiz,u,2.7
tiz_u12m2,tiz,u,3.2
tiz_u21m1,tiz,u,3
tiz_u21m2,tiz,u,5.55
tiz_u22m1,tiz,u,NA
tiz_u22m2,tiz,u,NA
tiz_u31m1,tiz,u,7.5
tiz_u31m2,tiz,u,2.8
tiz_u32m1,tiz,u,NA
tiz_u32m2,tiz,u,NA
tiz_u41m1,tiz,u,NA
tiz_u41m2,tiz,u,NA
tiz_u42m1,tiz,u,NA
tiz_u42m2,tiz,u,NA
tiz_u51m1,tiz,u,4.05
tiz_u51m2,tiz,u,5.75
tiz_u52m1,tiz,u,3.7
tiz_u52m2,tiz,u,3.4
val_r11m1,val,r,NA
val_r11m2,val,r,NA
val_r12m1,val,r,NA
val_r12m2,val,r,NA
val_r21m1,val,r,1.65
val_r21m2,val,r,4.5
val_r22m1,val,r,5.25
val_r22m2,val,r,4.25
val_r31m1,val,r,1.21666666666667
val_r31m2,val,r,2.1
val_r32m1,val,r,3.66666666666667
val_r32m2,val,r,2.75
val_r41m1,val,r,3.4
val_r41m2,val,r,5.5
val_r42m1,val,r,2.28333333333333
val_r42m2,val,r,4.35
val_r51m1,val,r,NA
val_r51m2,val,r,NA
val_r52m1,val,r,NA
val_r52m2,val,r,NA
val_u11m1,val,u,1.15
val_u11m2,val,u,2.05
val_u12m1,val,u,3.6
val_u12m2,val,u,0.3
val_u21m1,val,u,2.45
val_u21m2,val,u,2.1
val_u22m1,val,u,NA
val_u22m2,val,u,NA
val_u31m1,val,u,2.6
val_u31m2,val,u,3.85
val_u32m1,val,u,NA
val_u32m2,val,u,NA
val_u41m1,val,u,NA
val_u41m2,val,u,NA
val_u42m1,val,u,2.65
val_u42m2,val,u,3.95
val_u51m1,val,u,NA
val_u51m2,val,u,NA
val_u52m1,val,u,1.4
val_u52m2,val,u,4.9
