"ciudad"	"ambiente"	"sitio"	"parche"	"planta"	"ID"	"Leaf"	"uno"	"dos"	"tres"	"cuatro"	"leafMean"
"cam"	"r"	"1"	"1"	"m1"	"cam_r11m1"	1	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"1"	"m1"	"cam_r11m1"	2	1	6	4	1	3
"cam"	"r"	"1"	"1"	"m1"	"cam_r11m1"	3	9	1	8	7	6.25
"cam"	"r"	"1"	"1"	"m1"	"cam_r11m1"	4	7	7	8	9	7.75
"cam"	"r"	"1"	"1"	"m1"	"cam_r11m1"	5	0	3	0	NA	1
"cam"	"r"	"1"	"1"	"m2"	"cam_r11m2"	1	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"1"	"m2"	"cam_r11m2"	2	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"1"	"m2"	"cam_r11m2"	3	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"1"	"m2"	"cam_r11m2"	4	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"1"	"m2"	"cam_r11m2"	5	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m1"	"cam_r12m1"	1	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m1"	"cam_r12m1"	2	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m1"	"cam_r12m1"	3	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m1"	"cam_r12m1"	4	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m1"	"cam_r12m1"	5	NA	NA	NA	NA	NA
"cam"	"r"	"1"	"2"	"m2"	"cam_r12m2"	1	7	4	7	33	12.75
"cam"	"r"	"1"	"2"	"m2"	"cam_r12m2"	2	3	3	3	3	3
"cam"	"r"	"1"	"2"	"m2"	"cam_r12m2"	3	13	17	1	6	9.25
"cam"	"r"	"1"	"2"	"m2"	"cam_r12m2"	4	10	0	8	9	6.75
"cam"	"r"	"1"	"2"	"m2"	"cam_r12m2"	5	9	13	8	5	8.75
"cam"	"r"	"2"	"1"	"m1"	"cam_r21m1"	1	144	25	94	38	75.25
"cam"	"r"	"2"	"1"	"m1"	"cam_r21m1"	2	9	6	25	16	14
"cam"	"r"	"2"	"1"	"m1"	"cam_r21m1"	3	3	20	9	13	11.25
"cam"	"r"	"2"	"1"	"m1"	"cam_r21m1"	4	9	12	12	28	15.25
"cam"	"r"	"2"	"1"	"m1"	"cam_r21m1"	5	9	11	9	0	7.25
"cam"	"r"	"2"	"1"	"m2"	"cam_r21m2"	1	2	16	2	7	6.75
"cam"	"r"	"2"	"1"	"m2"	"cam_r21m2"	2	13	20	20	2	13.75
"cam"	"r"	"2"	"1"	"m2"	"cam_r21m2"	3	18	25	4	3	12.5
"cam"	"r"	"2"	"1"	"m2"	"cam_r21m2"	4	10	14	25	18	16.75
"cam"	"r"	"2"	"1"	"m2"	"cam_r21m2"	5	28	14	29	16	21.75
"cam"	"r"	"2"	"2"	"m1"	"cam_r22m1"	1	12	4	11	8	8.75
"cam"	"r"	"2"	"2"	"m1"	"cam_r22m1"	2	0	7	10	1	4.5
"cam"	"r"	"2"	"2"	"m1"	"cam_r22m1"	3	11	4	4	4	5.75
"cam"	"r"	"2"	"2"	"m1"	"cam_r22m1"	4	20	26	11	17	18.5
"cam"	"r"	"2"	"2"	"m1"	"cam_r22m1"	5	10	6	11	7	8.5
"cam"	"r"	"2"	"2"	"m2"	"cam_r22m2"	1	35	33	15	33	29
"cam"	"r"	"2"	"2"	"m2"	"cam_r22m2"	2	16	23	11	32	20.5
"cam"	"r"	"2"	"2"	"m2"	"cam_r22m2"	3	22	7	14	21	16
"cam"	"r"	"2"	"2"	"m2"	"cam_r22m2"	4	3	8	1	6	4.5
"cam"	"r"	"2"	"2"	"m2"	"cam_r22m2"	5	34	21	11	16	20.5
"cam"	"r"	"3"	"1"	"m1"	"cam_r31m1"	1	7	26	4	22	14.75
"cam"	"r"	"3"	"1"	"m1"	"cam_r31m1"	2	21	11	11	14	14.25
"cam"	"r"	"3"	"1"	"m1"	"cam_r31m1"	3	5	1	1	0	1.75
"cam"	"r"	"3"	"1"	"m1"	"cam_r31m1"	4	3	7	9	4	5.75
"cam"	"r"	"3"	"1"	"m1"	"cam_r31m1"	5	28	37	73	82	55
"cam"	"r"	"3"	"1"	"m2"	"cam_r31m2"	1	4	3	4	5	4
"cam"	"r"	"3"	"1"	"m2"	"cam_r31m2"	2	3	2	0	0	1.25
"cam"	"r"	"3"	"1"	"m2"	"cam_r31m2"	3	2	9	5	1	4.25
"cam"	"r"	"3"	"1"	"m2"	"cam_r31m2"	4	26	16	1	2	11.25
"cam"	"r"	"3"	"1"	"m2"	"cam_r31m2"	5	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m1"	"cam_r32m1"	1	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m1"	"cam_r32m1"	2	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m1"	"cam_r32m1"	3	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m1"	"cam_r32m1"	4	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m1"	"cam_r32m1"	5	NA	NA	NA	NA	NA
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	1	6	7	15	8	9
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	2	27	22	29	8	21.5
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	3	6	4	6	5	5.25
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	4	24	19	17	13	18.25
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	5	16	20	12	7	13.75
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	1	9	2	7	2	5
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	2	12	21	20	16	17.25
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	3	15	25	18	14	18
